Geometry,Freq (Hz),Range,Time Slot (s),Channel,Channel Capacity,BER,
D,0.1,1,0.5,Rx3Tx1,1.4427e-11,0.0338983,
D,0.1,1,0.5,Rx4Tx0,1.4427e-11,0.0282486,
D,0.1,1,0.5,Rx4Tx1,1.4427e-11,0.0338983,
D,0.1,1,0.6,Rx0Tx0,1.4427e-11,0.05,
D,0.1,1,0.6,Rx0Tx1,1.4427e-11,0.0433333,
D,0.1,1,0.6,Rx1Tx0,1.4427e-11,0.05,
D,0.1,1,0.6,Rx1Tx1,1.4427e-11,0.0433333,
D,0.1,1,0.6,Rx2Tx0,1.4427e-11,0.05,
D,0.1,1,0.6,Rx2Tx1,1.4427e-11,0.0433333,
D,0.1,1,0.6,Rx3Tx0,1.4427e-11,0.05,
D,0.1,1,0.6,Rx3Tx1,1.4427e-11,0.0433333,
D,0.1,1,0.6,Rx4Tx0,1.4427e-11,0.05,
D,0.1,1,0.6,Rx4Tx1,1.4427e-11,0.0433333,
D,0.1,1,0.7,Rx0Tx0,1.4427e-11,0.0570342,
D,0.1,1,0.7,Rx0Tx1,1.4427e-11,0.095057,
D,0.1,1,0.7,Rx1Tx0,1.4427e-11,0.0570342,
D,0.1,1,0.7,Rx1Tx1,1.4427e-11,0.095057,
D,0.1,1,0.7,Rx2Tx0,1.4427e-11,0.0570342,
D,0.1,1,0.7,Rx2Tx1,1.4427e-11,0.095057,
D,0.1,1,0.7,Rx3Tx0,1.4427e-11,0.0570342,
D,0.1,1,0.7,Rx3Tx1,1.4427e-11,0.095057,
D,0.1,1,0.7,Rx4Tx0,1.4427e-11,0.0570342,
D,0.1,1,0.7,Rx4Tx1,1.4427e-11,0.095057,
D,0.1,1,0.8,Rx0Tx0,1.4427e-11,0.121212,
D,0.1,1,0.8,Rx0Tx1,1.4427e-11,0.125541,
D,0.1,1,0.8,Rx1Tx0,1.4427e-11,0.121212,
D,0.1,1,0.8,Rx1Tx1,1.4427e-11,0.125541,
D,0.1,1,0.8,Rx2Tx0,1.4427e-11,0.121212,
D,0.1,1,0.8,Rx2Tx1,1.4427e-11,0.125541,
D,0.1,1,0.8,Rx3Tx0,1.4427e-11,0.121212,
D,0.1,1,0.8,Rx3Tx1,1.4427e-11,0.125541,
D,0.1,1,0.8,Rx4Tx0,1.4427e-11,0.121212,
D,0.1,1,0.8,Rx4Tx1,1.4427e-11,0.125541,
D,0.1,1,0.9,Rx0Tx0,1.4427e-11,0.15122,
D,0.1,1,0.9,Rx0Tx1,1.4427e-11,0.146341,
D,0.1,1,0.9,Rx1Tx0,1.4427e-11,0.15122,
D,0.1,1,0.9,Rx1Tx1,1.4427e-11,0.146341,
D,0.1,1,0.9,Rx2Tx0,1.4427e-11,0.15122,
D,0.1,1,0.9,Rx2Tx1,1.4427e-11,0.146341,
D,0.1,1,0.9,Rx3Tx0,1.4427e-11,0.15122,
D,0.1,1,0.9,Rx3Tx1,1.4427e-11,0.146341,
D,0.1,1,0.9,Rx4Tx0,1.4427e-11,0.15122,
D,0.1,1,0.9,Rx4Tx1,1.4427e-11,0.146341,
D,0.1,1,1,Rx0Tx0,1.4427e-11,0.193548,
D,0.1,1,1,Rx0Tx1,1.4427e-11,0.177419,
D,0.1,1,1,Rx1Tx0,1.4427e-11,0.193548,
D,0.1,1,1,Rx1Tx1,1.4427e-11,0.177419,
D,0.1,1,1,Rx2Tx0,1.4427e-11,0.193548,
D,0.1,1,1,Rx2Tx1,1.4427e-11,0.177419,
D,0.1,1,1,Rx3Tx0,1.4427e-11,0.193548,
D,0.1,1,1,Rx3Tx1,1.4427e-11,0.177419,
D,0.1,1,1,Rx4Tx0,1.4427e-11,0.193548,
D,0.1,1,1,Rx4Tx1,1.4427e-11,0.177419,
D,0.1,2,0.1,Rx0Tx0,1.4427e-11,0,
D,0.1,2,0.1,Rx0Tx1,1.4427e-11,0,
D,0.1,2,0.1,Rx1Tx0,1.4427e-11,0,
D,0.1,2,0.1,Rx1Tx1,1.4427e-11,0,
D,0.1,2,0.1,Rx2Tx0,1.4427e-11,0,
D,0.1,2,0.1,Rx2Tx1,1.4427e-11,0,
D,0.1,2,0.1,Rx3Tx0,1.4427e-11,0,
D,0.1,2,0.1,Rx3Tx1,1.4427e-11,0,
D,0.1,2,0.1,Rx4Tx0,1.4427e-11,0,
D,0.1,2,0.1,Rx4Tx1,1.4427e-11,0,
D,0.1,2,0.2,Rx0Tx0,1.4427e-11,0.00263852,
D,0.1,2,0.2,Rx0Tx1,1.4427e-11,0,
D,0.1,2,0.2,Rx1Tx0,1.4427e-11,0.00263852,
D,0.1,2,0.2,Rx1Tx1,1.4427e-11,0,
D,0.1,2,0.2,Rx2Tx0,1.4427e-11,0.00263852,
D,0.1,2,0.2,Rx2Tx1,1.4427e-11,0,
D,0.1,2,0.2,Rx3Tx0,1.4427e-11,0.00263852,
D,0.1,2,0.2,Rx3Tx1,1.4427e-11,0,
D,0.1,2,0.2,Rx4Tx0,1.4427e-11,0.00263852,
D,0.1,2,0.2,Rx4Tx1,1.4427e-11,0,
D,0.1,2,0.3,Rx0Tx0,1.4427e-11,0.00552486,
D,0.1,2,0.3,Rx0Tx1,1.4427e-11,0.00184162,
D,0.1,2,0.3,Rx1Tx0,1.4427e-11,0.00552486,
D,0.1,2,0.3,Rx1Tx1,1.4427e-11,0.00184162,
D,0.1,2,0.3,Rx2Tx0,1.4427e-11,0.00552486,
D,0.1,2,0.3,Rx2Tx1,1.4427e-11,0.00184162,
D,0.1,2,0.3,Rx3Tx0,1.4427e-11,0.00552486,
D,0.1,2,0.3,Rx3Tx1,1.4427e-11,0.00184162,
D,0.1,2,0.3,Rx4Tx0,1.4427e-11,0.00552486,
D,0.1,2,0.3,Rx4Tx1,1.4427e-11,0.00184162,
D,0.1,2,0.4,Rx0Tx0,1.4427e-11,0.0117647,
D,0.1,2,0.4,Rx0Tx1,1.4427e-11,0.0164706,
D,0.1,2,0.4,Rx1Tx0,1.4427e-11,0.0117647,
D,0.1,2,0.4,Rx1Tx1,1.4427e-11,0.0164706,
D,0.1,2,0.4,Rx2Tx0,1.4427e-11,0.0117647,
D,0.1,2,0.4,Rx2Tx1,1.4427e-11,0.0164706,
D,0.1,2,0.4,Rx3Tx0,1.4427e-11,0.0117647,
D,0.1,2,0.4,Rx3Tx1,1.4427e-11,0.0164706,
D,0.1,2,0.4,Rx4Tx0,1.4427e-11,0.0117647,
D,0.1,2,0.4,Rx4Tx1,1.4427e-11,0.0164706,
D,0.1,2,0.5,Rx0Tx0,1.4427e-11,0.0254237,
D,0.1,2,0.5,Rx0Tx1,1.4427e-11,0.0141243,
D,0.1,2,0.5,Rx1Tx0,1.4427e-11,0.0254237,
D,0.1,2,0.5,Rx1Tx1,1.4427e-11,0.0141243,
D,0.1,2,0.5,Rx2Tx0,1.4427e-11,0.0254237,
D,0.1,2,0.5,Rx2Tx1,1.4427e-11,0.0141243,
D,0.1,2,0.5,Rx3Tx0,1.4427e-11,0.0254237,
D,0.1,2,0.5,Rx3Tx1,1.4427e-11,0.0141243,
D,0.1,2,0.5,Rx4Tx0,1.4427e-11,0.0254237,
D,0.1,2,0.5,Rx4Tx1,1.4427e-11,0.0141243,
D,0.1,2,0.6,Rx0Tx0,1.4427e-11,0.05,
D,0.1,2,0.6,Rx0Tx1,1.4427e-11,0.03,
D,0.1,2,0.6,Rx1Tx0,1.4427e-11,0.05,
D,0.1,2,0.6,Rx1Tx1,1.4427e-11,0.03,
D,0.1,2,0.6,Rx2Tx0,1.4427e-11,0.05,
D,0.1,2,0.6,Rx2Tx1,1.4427e-11,0.03,
D,0.1,2,0.6,Rx3Tx0,1.4427e-11,0.05,
D,0.1,2,0.6,Rx3Tx1,1.4427e-11,0.03,
D,0.1,2,0.6,Rx4Tx0,1.4427e-11,0.05,
D,0.1,2,0.6,Rx4Tx1,1.4427e-11,0.03,
D,0.1,2,0.7,Rx0Tx0,1.4427e-11,0.0661479,
D,0.1,2,0.7,Rx0Tx1,1.4427e-11,0.0817121,
D,0.1,2,0.7,Rx1Tx0,1.4427e-11,0.0661479,
D,0.1,2,0.7,Rx1Tx1,1.4427e-11,0.0817121,
D,0.1,2,0.7,Rx2Tx0,1.4427e-11,0.0661479,
D,0.1,2,0.7,Rx2Tx1,1.4427e-11,0.0817121,
D,0.1,2,0.7,Rx3Tx0,1.4427e-11,0.0661479,
D,0.1,2,0.7,Rx3Tx1,1.4427e-11,0.0817121,
D,0.1,2,0.7,Rx4Tx0,1.4427e-11,0.0661479,
D,0.1,2,0.7,Rx4Tx1,1.4427e-11,0.0817121,
D,0.1,2,0.8,Rx0Tx0,1.4427e-11,0.0960699,
D,0.1,2,0.8,Rx0Tx1,1.4427e-11,0.10917,
D,0.1,2,0.8,Rx1Tx0,1.4427e-11,0.0960699,
D,0.1,2,0.8,Rx1Tx1,1.4427e-11,0.10917,
D,0.1,2,0.8,Rx2Tx0,1.4427e-11,0.0960699,
D,0.1,2,0.8,Rx2Tx1,1.4427e-11,0.10917,
D,0.1,2,0.8,Rx3Tx0,1.4427e-11,0.0960699,
D,0.1,2,0.8,Rx3Tx1,1.4427e-11,0.10917,
D,0.1,2,0.8,Rx4Tx0,1.4427e-11,0.0960699,
D,0.1,2,0.8,Rx4Tx1,1.4427e-11,0.10917,
D,0.1,2,0.9,Rx0Tx0,1.4427e-11,0.160194,
D,0.1,2,0.9,Rx0Tx1,1.4427e-11,0.135922,
D,0.1,2,0.9,Rx1Tx0,1.4427e-11,0.160194,
D,0.1,2,0.9,Rx1Tx1,1.4427e-11,0.135922,
D,0.1,2,0.9,Rx2Tx0,1.4427e-11,0.160194,
D,0.1,2,0.9,Rx2Tx1,1.4427e-11,0.135922,
D,0.1,2,0.9,Rx3Tx0,1.4427e-11,0.160194,
D,0.1,2,0.9,Rx3Tx1,1.4427e-11,0.135922,
D,0.1,2,0.9,Rx4Tx0,1.4427e-11,0.160194,
D,0.1,2,0.9,Rx4Tx1,1.4427e-11,0.135922,
D,0.1,2,1,Rx0Tx0,1.4427e-11,0.139785,
D,0.1,2,1,Rx0Tx1,1.4427e-11,0.166667,
D,0.1,2,1,Rx1Tx0,1.4427e-11,0.139785,
D,0.1,2,1,Rx1Tx1,1.4427e-11,0.166667,
D,0.1,2,1,Rx2Tx0,1.4427e-11,0.139785,
D,0.1,2,1,Rx2Tx1,1.4427e-11,0.166667,
D,0.1,2,1,Rx3Tx0,1.4427e-11,0.139785,
D,0.1,2,1,Rx3Tx1,1.4427e-11,0.166667,
D,0.1,2,1,Rx4Tx0,1.4427e-11,0.139785,
D,0.1,2,1,Rx4Tx1,1.4427e-11,0.166667,
D,0.1,3,0.1,Rx0Tx0,1.4427e-11,0,
D,0.1,3,0.1,Rx0Tx1,1.4427e-11,0,
D,0.1,3,0.1,Rx1Tx0,1.4427e-11,0,
D,0.1,3,0.1,Rx1Tx1,1.4427e-11,0,
D,0.1,3,0.1,Rx2Tx0,1.4427e-11,0,
D,0.1,3,0.1,Rx2Tx1,1.4427e-11,0,
D,0.1,3,0.1,Rx3Tx0,1.4427e-11,0,
D,0.1,3,0.1,Rx3Tx1,1.4427e-11,0,
D,0.1,3,0.1,Rx4Tx0,1.4427e-11,0,
D,0.1,3,0.1,Rx4Tx1,1.4427e-11,0,
D,0.1,3,0.2,Rx0Tx0,1.4427e-11,0,
D,0.1,3,0.2,Rx0Tx1,1.4427e-11,0,
D,0.1,3,0.2,Rx1Tx0,1.4427e-11,0,
D,0.1,3,0.2,Rx1Tx1,1.4427e-11,0,
D,0.1,3,0.2,Rx2Tx0,1.4427e-11,0,
D,0.1,3,0.2,Rx2Tx1,1.4427e-11,0,
D,0.1,3,0.2,Rx3Tx0,1.4427e-11,0,
D,0.1,3,0.2,Rx3Tx1,1.4427e-11,0,
D,0.1,3,0.2,Rx4Tx0,1.4427e-11,0,
D,0.1,3,0.2,Rx4Tx1,1.4427e-11,0,
D,0.1,3,0.3,Rx0Tx0,1.4427e-11,0.00367647,
D,0.1,3,0.3,Rx0Tx1,1.4427e-11,0.00367647,
D,0.1,3,0.3,Rx1Tx0,1.4427e-11,0.00367647,
D,0.1,3,0.3,Rx1Tx1,1.4427e-11,0.00367647,
D,0.1,3,0.3,Rx2Tx0,1.4427e-11,0.00367647,
D,0.1,3,0.3,Rx2Tx1,1.4427e-11,0.00367647,
D,0.1,3,0.3,Rx3Tx0,1.4427e-11,0.00367647,
D,0.1,3,0.3,Rx3Tx1,1.4427e-11,0.00367647,
D,0.1,3,0.3,Rx4Tx0,1.4427e-11,0.00367647,
D,0.1,3,0.3,Rx4Tx1,1.4427e-11,0.00367647,
D,0.1,3,0.4,Rx0Tx0,1.4427e-11,0.00930233,
D,0.1,3,0.4,Rx0Tx1,1.4427e-11,0.0139535,
D,0.1,3,0.4,Rx1Tx0,1.4427e-11,0.00930233,
D,0.1,3,0.4,Rx1Tx1,1.4427e-11,0.0139535,
D,0.1,3,0.4,Rx2Tx0,1.4427e-11,0.00930233,
D,0.1,3,0.4,Rx2Tx1,1.4427e-11,0.0139535,
D,0.1,3,0.4,Rx3Tx0,1.4427e-11,0.00930233,
D,0.1,3,0.4,Rx3Tx1,1.4427e-11,0.0139535,
D,0.1,3,0.4,Rx4Tx0,1.4427e-11,0.00930233,
D,0.1,3,0.4,Rx4Tx1,1.4427e-11,0.0139535,
D,0.1,3,0.5,Rx0Tx0,1.4427e-11,0.02,
D,0.1,3,0.5,Rx0Tx1,1.4427e-11,0.0257143,
D,0.1,3,0.5,Rx1Tx0,1.4427e-11,0.02,
D,0.1,3,0.5,Rx1Tx1,1.4427e-11,0.0257143,
D,0.1,3,0.5,Rx2Tx0,1.4427e-11,0.02,
D,0.1,3,0.5,Rx2Tx1,1.4427e-11,0.0257143,
D,0.1,3,0.5,Rx3Tx0,1.4427e-11,0.02,
D,0.1,3,0.5,Rx3Tx1,1.4427e-11,0.0257143,
D,0.1,3,0.5,Rx4Tx0,1.4427e-11,0.02,
D,0.1,3,0.5,Rx4Tx1,1.4427e-11,0.0257143,
D,0.1,3,0.6,Rx0Tx0,1.4427e-11,0.0232558,
D,0.1,3,0.6,Rx0Tx1,1.4427e-11,0.0531561,
D,0.1,3,0.6,Rx1Tx0,1.4427e-11,0.0232558,
D,0.1,3,0.6,Rx1Tx1,1.4427e-11,0.0531561,
D,0.1,3,0.6,Rx2Tx0,1.4427e-11,0.0232558,
D,0.1,3,0.6,Rx2Tx1,1.4427e-11,0.0531561,
D,0.1,3,0.6,Rx3Tx0,1.4427e-11,0.0232558,
D,0.1,3,0.6,Rx3Tx1,1.4427e-11,0.0531561,
D,0.1,3,0.6,Rx4Tx0,1.4427e-11,0.0232558,
D,0.1,3,0.6,Rx4Tx1,1.4427e-11,0.0531561,
D,0.1,3,0.7,Rx0Tx0,1.4427e-11,0.0687023,
D,0.1,3,0.7,Rx0Tx1,1.4427e-11,0.0801527,
D,0.1,3,0.7,Rx1Tx0,1.4427e-11,0.0687023,
D,0.1,3,0.7,Rx1Tx1,1.4427e-11,0.0801527,
D,0.1,3,0.7,Rx2Tx0,1.4427e-11,0.0687023,
D,0.1,3,0.7,Rx2Tx1,1.4427e-11,0.0801527,
D,0.1,3,0.7,Rx3Tx0,1.4427e-11,0.0687023,
D,0.1,3,0.7,Rx3Tx1,1.4427e-11,0.0801527,
D,0.1,3,0.7,Rx4Tx0,1.4427e-11,0.0687023,
D,0.1,3,0.7,Rx4Tx1,1.4427e-11,0.0801527,
D,0.1,3,0.8,Rx0Tx0,1.4427e-11,0.0829694,
D,0.1,3,0.8,Rx0Tx1,1.4427e-11,0.113537,
D,0.1,3,0.8,Rx1Tx0,1.4427e-11,0.0829694,
D,0.1,3,0.8,Rx1Tx1,1.4427e-11,0.113537,
D,0.1,3,0.8,Rx2Tx0,1.4427e-11,0.0829694,
D,0.1,3,0.8,Rx2Tx1,1.4427e-11,0.113537,
D,0.1,3,0.8,Rx3Tx0,1.4427e-11,0.0829694,
D,0.1,3,0.8,Rx3Tx1,1.4427e-11,0.113537,
D,0.1,3,0.8,Rx4Tx0,1.4427e-11,0.0829694,
D,0.1,3,0.8,Rx4Tx1,1.4427e-11,0.113537,
D,0.1,3,0.9,Rx0Tx0,1.4427e-11,0.136585,
D,0.1,3,0.9,Rx0Tx1,1.4427e-11,0.121951,
D,0.1,3,0.9,Rx1Tx0,1.4427e-11,0.136585,
D,0.1,3,0.9,Rx1Tx1,1.4427e-11,0.121951,
D,0.1,3,0.9,Rx2Tx0,1.4427e-11,0.136585,
D,0.1,3,0.9,Rx2Tx1,1.4427e-11,0.121951,
D,0.1,3,0.9,Rx3Tx0,1.4427e-11,0.136585,
D,0.1,3,0.9,Rx3Tx1,1.4427e-11,0.121951,
D,0.1,3,0.9,Rx4Tx0,1.4427e-11,0.136585,
D,0.1,3,0.9,Rx4Tx1,1.4427e-11,0.121951,
D,0.1,3,1,Rx0Tx0,1.4427e-11,0.212766,
D,0.1,3,1,Rx0Tx1,1.4427e-11,0.202128,
D,0.1,3,1,Rx1Tx0,1.4427e-11,0.212766,
D,0.1,3,1,Rx1Tx1,1.4427e-11,0.202128,
D,0.1,3,1,Rx2Tx0,1.4427e-11,0.212766,
D,0.1,3,1,Rx2Tx1,1.4427e-11,0.202128,
D,0.1,3,1,Rx3Tx0,1.4427e-11,0.212766,
D,0.1,3,1,Rx3Tx1,1.4427e-11,0.202128,
D,0.1,3,1,Rx4Tx0,1.4427e-11,0.212766,
D,0.1,3,1,Rx4Tx1,1.4427e-11,0.202128,
D,0.1,4,0.1,Rx0Tx0,1.4427e-11,0,
D,0.1,4,0.1,Rx0Tx1,1.4427e-11,0,
D,0.1,4,0.1,Rx1Tx0,1.4427e-11,0,
D,0.1,4,0.1,Rx1Tx1,1.4427e-11,0,
D,0.1,4,0.1,Rx2Tx0,1.4427e-11,0,
D,0.1,4,0.1,Rx2Tx1,1.4427e-11,0,
D,0.1,4,0.1,Rx3Tx0,1.4427e-11,0,
D,0.1,4,0.1,Rx3Tx1,1.4427e-11,0,
D,0.1,4,0.1,Rx4Tx0,1.4427e-11,0,
D,0.1,4,0.1,Rx4Tx1,1.4427e-11,0,
D,0.1,4,0.2,Rx0Tx0,1.4427e-11,0.00132275,
D,0.1,4,0.2,Rx0Tx1,1.4427e-11,0.00132275,
D,0.1,4,0.2,Rx1Tx0,1.4427e-11,0.00132275,
D,0.1,4,0.2,Rx1Tx1,1.4427e-11,0.00132275,
D,0.1,4,0.2,Rx2Tx0,1.4427e-11,0.00132275,
D,0.1,4,0.2,Rx2Tx1,1.4427e-11,0.00132275,
D,0.1,4,0.2,Rx3Tx0,1.4427e-11,0.00132275,
D,0.1,4,0.2,Rx3Tx1,1.4427e-11,0.00132275,
D,0.1,4,0.2,Rx4Tx0,1.4427e-11,0.00132275,
D,0.1,4,0.2,Rx4Tx1,1.4427e-11,0.00132275,
D,0.1,4,0.3,Rx0Tx0,1.4427e-11,0.00368324,
D,0.1,4,0.3,Rx0Tx1,1.4427e-11,0.00184162,
D,0.1,4,0.3,Rx1Tx0,1.4427e-11,0.00368324,
D,0.1,4,0.3,Rx1Tx1,1.4427e-11,0.00184162,
D,0.1,4,0.3,Rx2Tx0,1.4427e-11,0.00368324,
D,0.1,4,0.3,Rx2Tx1,1.4427e-11,0.00184162,
D,0.1,4,0.3,Rx3Tx0,1.4427e-11,0.00368324,
D,0.1,4,0.3,Rx3Tx1,1.4427e-11,0.00184162,
D,0.1,4,0.3,Rx4Tx0,1.4427e-11,0.00368324,
D,0.1,4,0.3,Rx4Tx1,1.4427e-11,0.00184162,
D,0.1,4,0.4,Rx0Tx0,1.4427e-11,0.0190476,
D,0.1,4,0.4,Rx0Tx1,1.4427e-11,0.00238095,
D,0.1,4,0.4,Rx1Tx0,1.4427e-11,0.0190476,
D,0.1,4,0.4,Rx1Tx1,1.4427e-11,0.00238095,
D,0.1,4,0.4,Rx2Tx0,1.4427e-11,0.0190476,
D,0.1,4,0.4,Rx2Tx1,1.4427e-11,0.00238095,
D,0.1,4,0.4,Rx3Tx0,1.4427e-11,0.0190476,
D,0.1,4,0.4,Rx3Tx1,1.4427e-11,0.00238095,
D,0.1,4,0.4,Rx4Tx0,1.4427e-11,0.0190476,
D,0.1,4,0.4,Rx4Tx1,1.4427e-11,0.00238095,
D,0.1,4,0.5,Rx0Tx0,1.4427e-11,0.034188,
D,0.1,4,0.5,Rx0Tx1,1.4427e-11,0.025641,
D,0.1,4,0.5,Rx1Tx0,1.4427e-11,0.034188,
D,0.1,4,0.5,Rx1Tx1,1.4427e-11,0.025641,
D,0.1,4,0.5,Rx2Tx0,1.4427e-11,0.034188,
D,0.1,4,0.5,Rx2Tx1,1.4427e-11,0.025641,
D,0.1,4,0.5,Rx3Tx0,1.4427e-11,0.034188,
D,0.1,4,0.5,Rx3Tx1,1.4427e-11,0.025641,
D,0.1,4,0.5,Rx4Tx0,1.4427e-11,0.034188,
D,0.1,4,0.5,Rx4Tx1,1.4427e-11,0.025641,
D,0.1,4,0.6,Rx0Tx0,1.4427e-11,0.0401338,
D,0.1,4,0.6,Rx0Tx1,1.4427e-11,0.0568562,
D,0.1,4,0.6,Rx1Tx0,1.4427e-11,0.0401338,
D,0.1,4,0.6,Rx1Tx1,1.4427e-11,0.0568562,
D,0.1,4,0.6,Rx2Tx0,1.4427e-11,0.0401338,
D,0.1,4,0.6,Rx2Tx1,1.4427e-11,0.0568562,
D,0.1,4,0.6,Rx3Tx0,1.4427e-11,0.0401338,
D,0.1,4,0.6,Rx3Tx1,1.4427e-11,0.0568562,
D,0.1,4,0.6,Rx4Tx0,1.4427e-11,0.0401338,
D,0.1,4,0.6,Rx4Tx1,1.4427e-11,0.0568562,
D,0.1,4,0.7,Rx0Tx0,1.4427e-11,0.0730769,
D,0.1,4,0.7,Rx0Tx1,1.4427e-11,0.0576923,
D,0.1,4,0.7,Rx1Tx0,1.4427e-11,0.0730769,
D,0.1,4,0.7,Rx1Tx1,1.4427e-11,0.0576923,
D,0.1,4,0.7,Rx2Tx0,1.4427e-11,0.0730769,
D,0.1,4,0.7,Rx2Tx1,1.4427e-11,0.0576923,
D,0.1,4,0.7,Rx3Tx0,1.4427e-11,0.0730769,
D,0.1,4,0.7,Rx3Tx1,1.4427e-11,0.0576923,
D,0.1,4,0.7,Rx4Tx0,1.4427e-11,0.0730769,
D,0.1,4,0.7,Rx4Tx1,1.4427e-11,0.0576923,
D,0.1,4,0.8,Rx0Tx0,1.4427e-11,0.100877,
D,0.1,4,0.8,Rx0Tx1,1.4427e-11,0.100877,
D,0.1,4,0.8,Rx1Tx0,1.4427e-11,0.100877,
D,0.1,4,0.8,Rx1Tx1,1.4427e-11,0.100877,
D,0.1,4,0.8,Rx2Tx0,1.4427e-11,0.100877,
D,0.1,4,0.8,Rx2Tx1,1.4427e-11,0.100877,
D,0.1,4,0.8,Rx3Tx0,1.4427e-11,0.100877,
D,0.1,4,0.8,Rx3Tx1,1.4427e-11,0.100877,
D,0.1,4,0.8,Rx4Tx0,1.4427e-11,0.100877,
D,0.1,4,0.8,Rx4Tx1,1.4427e-11,0.100877,
D,0.1,4,0.9,Rx0Tx0,1.4427e-11,0.126829,
D,0.1,4,0.9,Rx0Tx1,1.4427e-11,0.112195,
D,0.1,4,0.9,Rx1Tx0,1.4427e-11,0.126829,
D,0.1,4,0.9,Rx1Tx1,1.4427e-11,0.112195,
D,0.1,4,0.9,Rx2Tx0,1.4427e-11,0.126829,
D,0.1,4,0.9,Rx2Tx1,1.4427e-11,0.112195,
D,0.1,4,0.9,Rx3Tx0,1.4427e-11,0.126829,
D,0.1,4,0.9,Rx3Tx1,1.4427e-11,0.112195,
D,0.1,4,0.9,Rx4Tx0,1.4427e-11,0.126829,
D,0.1,4,0.9,Rx4Tx1,1.4427e-11,0.112195,
D,0.1,4,1,Rx0Tx0,1.4427e-11,0.175532,
D,0.1,4,1,Rx0Tx1,1.4427e-11,0.175532,
D,0.1,4,1,Rx1Tx0,1.4427e-11,0.175532,
D,0.1,4,1,Rx1Tx1,1.4427e-11,0.175532,
D,0.1,4,1,Rx2Tx0,1.4427e-11,0.175532,
D,0.1,4,1,Rx2Tx1,1.4427e-11,0.175532,
D,0.1,4,1,Rx3Tx0,1.4427e-11,0.175532,
D,0.1,4,1,Rx3Tx1,1.4427e-11,0.175532,
D,0.1,4,1,Rx4Tx0,1.4427e-11,0.175532,
D,0.1,4,1,Rx4Tx1,1.4427e-11,0.175532,
